,index,Player,G,GS,MP,FG,WS,BPM,VORP,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,HOF,all_star_appear,URL,nba_champ,all_defensive,all_star_mvp,league_mvp,scoring_champ,all_nba,finals_mvp,def_poy,stl_champ,ast_champ,trb_champ,blk_champ
479,484,Mike Newlin,837.0,32.0,24574.0,4720.0,50.5,-4.7,9.3,10133.0,62.0,205.0,4658.0,9928.0,3005.0,3456.0,559.0,1367.0,2494.0,3364.0,702.0,58.0,878.0,12507.0,0,0.0,newlimi01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,485,Mike Riordan,697.0,0.0,17267.0,3006.0,35.300000000000004,-11.3,2.0,6393.0,0.0,0.0,3006.0,6393.0,872.0,1183.0,261.0,617.0,1958.0,1650.0,231.0,35.0,0.0,6884.0,0,0.0,riordmi01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,486,Mike Woodson,884.0,456.0,22523.0,4932.0,40.300000000000004,-46.9,6.8999999999999995,10510.0,128.0,475.0,4804.0,10035.0,2357.0,2914.0,760.0,1338.0,2098.0,2059.0,1099.0,315.0,1496.0,12349.0,0,0.0,woodsmi01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,487,Mitch Richmond*,976.0,902.0,34309.0,7305.0,79.3,6.0,24.900000000000002,16038.0,1326.0,3417.0,5979.0,12621.0,4561.0,5365.0,881.0,2920.0,3801.0,3398.0,1211.0,254.0,2579.0,20497.0,1,6.0,richmmi01,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
483,488,Mo Williams,944.0,614.0,27640.0,4683.0,43.2,-20.3,9.100000000000001,10916.0,1292.0,3483.0,3391.0,7433.0,1877.0,2159.0,450.0,2141.0,2591.0,4794.0,820.0,145.0,2192.0,12535.0,0,1.0,willima01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,489,Monta Ellis,891.0,771.0,31131.0,6173.0,44.7,-10.399999999999995,13.200000000000001,13728.0,799.0,2550.0,5374.0,11178.0,2894.0,3738.0,540.0,2534.0,3074.0,4202.0,1495.0,299.0,2423.0,16039.0,0,0.0,ellismo01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,490,Mookie Blaylock,889.0,800.0,31026.0,4705.0,71.8,27.900000000000002,39.1,11499.0,1283.0,3816.0,3422.0,7683.0,1269.0,1724.0,1017.0,2642.0,3659.0,5972.0,2075.0,300.0,2067.0,11962.0,0,1.0,blaylmo01,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
486,491,Morris Peterson,711.0,488.0,19366.0,2747.0,35.699999999999996,-12.5,9.8,6567.0,1009.0,2702.0,1738.0,3865.0,1125.0,1456.0,569.0,1914.0,2483.0,1090.0,639.0,136.0,716.0,7628.0,0,0.0,petermo01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,492,Moses Malone*,1411.0,784.0,47577.0,9824.0,175.79999999999998,6.100000000000001,46.29999999999999,20035.0,8.0,80.0,9816.0,19955.0,8836.0,11530.0,7168.0,10116.0,17284.0,1885.0,1156.0,1914.0,3804.0,28492.0,1,13.0,malonmo01,1.0,2.0,0.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,6.0,0.0
488,493,Muggsy Bogues,950.0,587.0,26999.0,2986.0,55.90000000000001,-34.5,4.4,6533.0,110.0,397.0,2876.0,6136.0,1123.0,1352.0,564.0,1886.0,2450.0,7057.0,1436.0,42.0,1538.0,7205.0,0,0.0,boguemu01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,494,Mychal Thompson,1017.0,461.0,29654.0,5550.0,61.80000000000001,-4.200000000000001,17.699999999999996,11103.0,2.0,14.0,5548.0,11089.0,2646.0,4004.0,2367.0,4996.0,7363.0,2256.0,746.0,1144.0,2238.0,13748.0,0,0.0,thompmy01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,495,Nate Robinson,775.0,121.0,16597.0,2911.0,31.400000000000002,-32.1,8.200000000000001,6935.0,994.0,2790.0,1917.0,4145.0,1197.0,1514.0,445.0,1251.0,1696.0,2197.0,641.0,54.0,1047.0,8013.0,0,0.0,robinna01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,496,Nate Thurmond*,1042.0,0.0,37274.0,5663.0,80.30000000000001,1.4999999999999996,6.7,13442.0,0.0,0.0,5663.0,13442.0,3457.0,5212.0,859.0,2127.0,14879.0,2669.0,147.0,651.0,0.0,14783.0,1,7.0,thurmna01,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,497,Nate Williams,800.0,0.0,18063.0,4064.0,29.8,-13.7,2.8000000000000007,8863.0,0.0,0.0,4064.0,8863.0,1435.0,1773.0,762.0,1537.0,3010.0,1182.0,697.0,200.0,259.0,9563.0,0,0.0,willina01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,498,Nazr Mohammed,1377.0,525.0,23277.0,3619.0,51.0,-95.89999999999999,-1.6000000000000003,7358.0,0.0,12.0,3619.0,7346.0,1527.0,2396.0,2682.0,4255.0,6937.0,559.0,649.0,928.0,1358.0,8765.0,0,0.0,mohamna01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,499,Neal Walk,635.0,0.0,14957.0,3126.0,31.599999999999994,-7.0,3.9999999999999996,6859.0,0.0,0.0,3126.0,6859.0,1387.0,1822.0,520.0,1411.0,4731.0,1337.0,177.0,128.0,0.0,7639.0,0,0.0,walkne01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,500,Neil Johnston*,516.0,0.0,18298.0,3303.0,92.0,0.0,0.0,7435.0,0.0,0.0,3303.0,7435.0,3417.0,4447.0,0.0,0.0,5856.0,1269.0,0.0,0.0,0.0,10023.0,1,6.0,johnsne01,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
496,502,Nick Anderson,800.0,636.0,24922.0,4416.0,55.29999999999999,8.3,23.5,9891.0,1055.0,2964.0,3361.0,6927.0,1642.0,2461.0,1011.0,3053.0,4064.0,2087.0,1114.0,364.0,1358.0,11529.0,0,0.0,anderni01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,504,Nick Young,698.0,228.0,16718.0,3006.0,18.9,-41.7,-5.800000000000002,7207.0,1016.0,2712.0,1990.0,4495.0,1455.0,1740.0,271.0,1162.0,1433.0,705.0,400.0,144.0,753.0,8483.0,0,0.0,youngni01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,505,Nicolas Batum,628.0,575.0,19893.0,2694.0,47.00000000000001,24.200000000000003,23.400000000000002,6177.0,1025.0,2875.0,1669.0,3302.0,1187.0,1413.0,682.0,2659.0,3341.0,2304.0,594.0,426.0,1179.0,7600.0,0,0.0,batumni01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,506,Norm Nixon,768.0,416.0,27250.0,5219.0,47.5,-16.6,5.199999999999999,10805.0,100.0,340.0,5119.0,10465.0,1527.0,1978.0,473.0,1518.0,1991.0,6386.0,1187.0,71.0,2368.0,12065.0,0,2.0,nixonno01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,508,O.J. Mayo,547.0,325.0,16919.0,2808.0,21.900000000000002,-9.9,5.099999999999999,6547.0,854.0,2287.0,1954.0,4260.0,1104.0,1346.0,285.0,1421.0,1706.0,1607.0,559.0,141.0,1130.0,7574.0,0,0.0,mayooj01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,509,Olden Polynice,1205.0,753.0,29378.0,4219.0,57.2,-41.3,3.3000000000000003,8263.0,5.0,29.0,4214.0,8234.0,1389.0,2584.0,3249.0,5223.0,8472.0,827.0,601.0,750.0,1336.0,9832.0,0,0.0,polynol01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,510,Orlando Woolridge,909.0,532.0,25596.0,5439.0,55.399999999999984,-16.4,10.100000000000001,10636.0,8.0,97.0,5431.0,10539.0,3435.0,4678.0,1448.0,2433.0,3881.0,1724.0,580.0,596.0,1826.0,14321.0,0,0.0,woolror01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,511,Oscar Robertson*,1040.0,0.0,43886.0,9508.0,189.10000000000005,0.0,1.3,19620.0,0.0,0.0,9508.0,19620.0,7694.0,9185.0,71.0,208.0,7804.0,9887.0,77.0,4.0,0.0,26710.0,1,12.0,roberos01,1.0,0.0,3.0,1.0,0.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0
504,512,Otis Birdsong,696.0,317.0,21627.0,5347.0,48.300000000000004,-12.8,12.399999999999999,10562.0,49.0,179.0,5298.0,10383.0,1801.0,2748.0,920.0,1152.0,2072.0,2260.0,858.0,143.0,1491.0,12544.0,0,4.0,birdsot01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
505,513,Otis Thorpe,1401.0,1090.0,44115.0,7551.0,114.69999999999997,9.499999999999996,33.8,13898.0,3.0,76.0,7548.0,13822.0,4184.0,6133.0,3799.0,7666.0,11465.0,3064.0,929.0,559.0,3058.0,19289.0,0,1.0,thorpot01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,514,Otto Moore,802.0,0.0,18905.0,2574.0,27.9,-17.3,3.6999999999999997,5654.0,0.0,0.0,2574.0,5654.0,1029.0,1681.0,676.0,1981.0,6189.0,1208.0,233.0,431.0,0.0,6177.0,0,0.0,mooreot01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,515,P.J. Brown,1089.0,990.0,33823.0,3852.0,89.7,16.900000000000002,28.600000000000005,8365.0,8.0,59.0,3844.0,8306.0,2158.0,2718.0,3002.0,5407.0,8409.0,1661.0,912.0,1116.0,1342.0,9870.0,0,0.0,brownpj01,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,516,Pat Cummings,683.0,300.0,14516.0,2734.0,22.500000000000007,-38.199999999999996,-1.0999999999999996,5506.0,0.0,16.0,2734.0,5490.0,1061.0,1440.0,1166.0,2659.0,3825.0,807.0,360.0,171.0,1152.0,6529.0,0,0.0,cummipa01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509,517,Pau Gasol,1185.0,1147.0,41180.0,8126.0,145.3,61.6,57.2,15898.0,134.0,369.0,7992.0,15529.0,4861.0,6424.0,3089.0,8013.0,11102.0,3846.0,607.0,1945.0,2638.0,21247.0,0,6.0,gasolpa01,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
510,518,Paul Arizin*,713.0,0.0,24897.0,5628.0,108.8,0.0,0.0,13354.0,0.0,0.0,5628.0,13354.0,5010.0,6189.0,0.0,0.0,6129.0,1665.0,0.0,0.0,0.0,16266.0,1,10.0,arizipa01,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
511,519,Paul Millsap,837.0,559.0,24683.0,4484.0,79.4,36.7,33.5,9104.0,333.0,1014.0,4151.0,8090.0,2589.0,3517.0,1910.0,4344.0,6254.0,1922.0,1100.0,868.0,1521.0,11890.0,0,4.0,millspa01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,520,Paul Pierce,1343.0,1285.0,45880.0,8668.0,150.2,51.70000000000002,61.39999999999999,19465.0,2143.0,5816.0,6525.0,13649.0,6918.0,8578.0,1092.0,6435.0,7527.0,4708.0,1752.0,745.0,3532.0,26397.0,0,10.0,piercpa01,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
513,521,Paul Pressey,724.0,420.0,19659.0,2855.0,49.199999999999996,13.599999999999994,22.099999999999998,5890.0,79.0,356.0,2776.0,5534.0,1875.0,2503.0,901.0,1897.0,2798.0,3715.0,997.0,428.0,1700.0,7664.0,0,0.0,presspa01,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,522,Paul Silas,1254.0,0.0,34989.0,4293.0,80.00000000000001,-0.7,8.6,9949.0,0.0,0.0,4293.0,9949.0,3196.0,4748.0,2035.0,3213.0,12357.0,2572.0,358.0,138.0,333.0,11782.0,0,2.0,silaspa01,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515,525,Pete Maravich*,701.0,8.0,25280.0,6431.0,47.0,-11.7,10.600000000000001,14568.0,20.0,30.0,6411.0,14538.0,3655.0,4449.0,443.0,1482.0,2825.0,3646.0,611.0,114.0,612.0,16537.0,1,5.0,maravpe01,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
516,526,Phil Chenier,621.0,0.0,19966.0,4256.0,39.4,-26.5,8.6,9620.0,11.0,27.0,4245.0,9593.0,1734.0,2158.0,385.0,1200.0,2141.0,1831.0,715.0,253.0,212.0,10257.0,0,3.0,cheniph01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
517,527,Phil Ford,559.0,247.0,15113.0,2341.0,25.799999999999994,-30.699999999999996,-1.1,5005.0,26.0,128.0,2315.0,4877.0,1410.0,1725.0,179.0,778.0,957.0,3373.0,641.0,32.0,1460.0,6118.0,0,0.0,fordph01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
518,528,Phil Hubbard,748.0,327.0,17702.0,2998.0,31.599999999999998,-17.0,5.200000000000001,6059.0,1.0,30.0,2997.0,6029.0,2074.0,2947.0,1689.0,2322.0,4011.0,948.0,639.0,108.0,1471.0,8071.0,0,0.0,hubbaph01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,529,Phil Jordon,579.0,0.0,13754.0,2518.0,11.899999999999999,0.0,0.0,6341.0,0.0,0.0,2518.0,6341.0,1173.0,1682.0,0.0,0.0,4003.0,987.0,0.0,0.0,0.0,6209.0,0,0.0,jordoph01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,530,Phil Smith,733.0,99.0,21208.0,4347.0,42.6,-8.5,8.899999999999999,9179.0,24.0,102.0,4323.0,9077.0,2054.0,2651.0,639.0,1525.0,2164.0,2868.0,801.0,192.0,1145.0,10772.0,0,2.0,smithph01,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
