Player,G,GS,MP,FG,WS,BPM,VORP,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,HOF,all_star_appear,URL,nba_champ,all_defensive,all_star_mvp,league_mvp,scoring_champ,all_nba,finals_mvp,def_poy,stl_champ,ast_champ,trb_champ,blk_champ
Ralph Sampson*,504,407,15254,3223,20.6,-22.6,6.8,6694,12,69,3211,6625,1330,1982,1314,3159,4473,1160,431,840,1534,7788,1,4,sampsra01,0,0,1,0,0,1,0,0,0,0,0,0
Reggie Miller*,1389,1304,47619,8241,174.5,56.9,63.3,17499,2560,6486,5681,11013,6237,7026,883,3299,4182,4141,1505,299,2409,25279,1,5,millere01,0,0,0,0,0,3,0,0,0,0,0,0
Richie Guerin*,928,0,29815,5525,75.5,0,0,13297,0,0,5525,13297,4675,5973,0,0,4534,4586,0,0,0,15725,1,6,gueriri01,0,0,0,0,0,3,0,0,0,0,0,0
Rick Barry*,794,0,28825,7252,93.4,20.8,25.9,16163,73,221,7179,15942,3818,4243,510,2366,5168,4017,1104,269,574,18395,1,12,barryri01,1,0,1,0,0,6,1,0,1,0,0,0
Robert Parish*,1611,1134,45704,9614,147,23,41.6,17914,0,6,9614,17908,4106,5694,4598,10117,14715,2180,1219,2361,3183,23334,1,9,parisro01,4,0,0,0,0,2,0,0,0,0,0,0
Sam Jones*,871,0,24285,6271,92.4,0,0,13745,0,0,6271,13745,2869,3572,0,0,4305,2209,0,0,0,15411,1,5,jonessa01,10,0,0,0,0,3,0,0,0,0,0,0
Scottie Pippen*,1178,1053,41069,7420,125.1,70.4,69.4,15700,978,3002,6442,12698,3122,4437,2068,5426,7494,6135,2307,947,3257,18940,1,7,pippesc01,6,10,1,0,0,7,0,0,1,0,0,0
Shaquille O'Neal*,1268,1258,43666,11661,184.5,82.1,74.6,20015,1,22,11660,19993,6105,11590,4375,9278,13653,3119,771,2820,3491,29428,1,15,onealsh01,4,3,3,1,0,14,3,0,0,0,0,0
Slater Martin*,811,0,24290,2876,49.9,0,0,7960,0,0,2876,7960,2303,3011,0,0,2590,3429,0,0,0,8055,1,7,martisl01,5,0,0,0,0,5,0,0,0,0,0,0
Spencer Haywood*,828,88,27961,6385,65.8,-15,5.8,13652,1,8,6384,13644,3242,4058,1665,3589,7571,1478,395,711,916,16013,1,5,haywosp01,1,0,1,0,0,4,0,0,0,0,0,0
Tiny Archibald*,876,268,31159,5899,83.4,-7.3,9.5,12628,19,85,5880,12543,4664,5760,344,1015,2046,6476,719,81,1123,16481,1,6,architi01,1,0,1,0,0,5,0,0,0,1,0,0
Tom Gola*,771,0,25199,3327,57.7,0,0,7674,0,0,3327,7674,2113,2775,0,0,6134,3260,0,0,0,8767,1,5,golato01,1,0,0,0,0,1,0,0,0,0,0,0
Tom Heinsohn*,654,0,19254,4773,59.8,0,0,11787,0,0,4773,11787,2648,3353,0,0,5749,1318,0,0,0,12194,1,6,heinsto01,8,0,0,0,0,4,0,0,0,0,0,0
Tom Sanders*,916,0,22164,3416,56.5,0,0,7988,0,0,3416,7988,1934,2520,0,0,5798,1026,0,0,0,8766,1,0,sandeto01,8,1,0,0,0,0,0,0,0,0,0,0
Vern Mikkelsen*,699,0,18443,3547,83.3,0,0,8812,0,0,3547,8812,2969,3874,0,0,5940,1515,0,0,0,10063,1,6,mikkeve01,4,0,0,0,0,4,0,0,0,0,0,0
Walt Bellamy*,1290,0,47479,9523,155.1,-8.3,1.4,18487,0,0,9523,18487,6159,9768,264,481,17303,3098,52,48,0,25205,1,4,bellawa01,0,0,0,0,0,0,0,0,0,0,0,0
Walt Frazier*,825,0,30965,6130,113.7,12.8,20.9,12516,0,1,6130,12515,3321,4226,403,1523,4830,5040,681,63,139,15581,1,7,fraziwa01,2,7,1,0,0,6,0,0,0,0,0,0
Wayne Embry*,831,0,21763,3993,37.6,0,0,9067,0,0,3993,9067,2394,3741,0,0,7544,1194,0,0,0,10380,1,5,embrywa01,1,0,0,0,0,0,0,0,0,0,0,0
Wes Unseld*,984,0,35832,4369,110.2,33.5,32.9,8586,3,6,4366,8580,1883,2976,2085,4974,13769,3822,628,367,579,10624,1,5,unselwe01,1,0,0,1,0,1,1,0,0,0,1,0
Willis Reed*,650,0,23073,4859,74.8,0.5,0.3,10202,0,0,4859,10202,2465,3298,47,94,8414,1186,12,21,0,12183,1,7,reedwi01,2,1,1,1,0,5,2,0,0,0,0,0
Wilt Chamberlain*,1118,0,51160,13744,262.3,0,0,25580,0,0,13744,25580,6465,12742,0,0,25597,4893,0,0,0,33953,1,13,chambwi01,2,2,1,4,0,10,1,0,0,1,11,0
Yao Ming*,486,476,15818,3380,66,13.2,17.1,6445,2,10,3378,6435,2485,2984,1233,3261,4494,769,189,920,1311,9247,1,8,mingya01,0,0,0,0,0,5,0,0,0,0,0,0
Zelmo Beaty*,570,0,18348,3396,58.1,-2.3,-0.1,7237,0,0,3396,7237,2315,3087,93,234,5949,839,45,29,0,9107,1,5,beatyze01,0,0,0,0,0,0,0,0,0,0,0,0
